groupe;espece;code_espece;individus;chlorophylle;type_biologique
GB5;plantago_lanceolata;PLALAN;1;51,6;hemicryptophyte
GB5;plantago_lanceolata;PLALAN;2;56,9;hemicryptophyte
GB5;plantago_lanceolata;PLALAN;3;66,2;hemicryptophyte
GB5;himantoglossum_robertianum;HIMROB;1;54,5;geophyte
GB5;himantoglossum_robertianum;HIMROB;2;56,1;geophyte
GB5;himantoglossum_robertianum;HIMROB;3;63,5;geophyte
gA14;samilax_aspera;SAMASP;1;59,4;chamephyte
gA14;samilax_aspera;SAMASP;2;57,3;chamephyte
gA14;samilax_aspera;SAMASP;3;53,7;chamephyte
gA14;viburnum_tinus;VIBTIN;1;33,1;phanerophyte
gA14;viburnum_tinus;VIBTIN;2;43,8;phanerophyte
gA14;viburnum_tinus;VIBTIN;3;35,3;phanerophyte
gA14;panicum_miliaceum;PANMIL;1;16;hemicryptophyte
gA14;panicum_miliaceum;PANMIL;2;16;hemicryptophyte
gA14;panicum_miliaceum;PANMIL;3;33,7;hemicryptophyte
GB4;pilosella_officinarum;PILOFI;1;16,3;hemicryptophyte
GB4;pilosella_officinarum;PILOFI;2;42,02;hemicryptophyte
GB4;pilosella_officinarum;PILOFI;3;41,8;hemicryptophyte
GB8;carex_halleriana;CARHAL;1;32,2;hemicryptophyte
GB8;carex_halleriana;CARHAL;2;34,2;hemicryptophyte
GB8;carex_halleriana;CARHAL;3;37,6;hemicryptophyte
GB8;coronilla_valentina;CORVAL;1;50,2;chamephyte
GB8;coronilla_valentina;CORVAL;2;49,3;chamephyte
GB8;coronilla_valentina;CORVAL;3;45,7;chamephyte
GB2;quercus_pubescens;QUEPUB;1;42,1;phanerophyte
GB2;quercus_pubescens;QUEPUB;2;46,7;phanerophyte
GB2;quercus_pubescens;QUEPUB;3;46,5;phanerophyte
GB2;hieracium_sp;HIEsp;1;51,2;hemicryptophyte
GB2;hieracium_sp;HIEsp;2;50,5;hemicryptophyte
GB2;hieracium_sp;HIEsp;3;55;hemicryptophyte
